id	multiplicon	genome	list	first	last	order
1	1	ath	2	AT2G40270	AT2G47800	0
2	1	ath	3	AT3G55950	AT3G62870	1
3	2	ath	2	AT2G45550	AT2G46870	0
4	2	ath	3	AT3G60960	AT3G61970	1
5	2	ath	1	AT1G01030	AT1G01970	2
6	3	ath	2	AT2G45790	AT2G46870	0
7	3	ath	3	AT3G61230	AT3G61970	1
8	3	ath	1	AT1G01030	AT1G01790	2
9	3	ath	4	AT4G00630	AT4G01570	3
10	4	ath	2	AT2G45810	AT2G46590	0
11	4	ath	3	AT3G61240	AT3G61850	1
12	4	ath	1	AT1G01230	AT1G01770	2
13	4	ath	4	AT4G00660	AT4G01420	3
14	4	ath	1	AT1G63250	AT1G64620	4
15	5	ath	2	AT2G45850	AT2G46495	0
16	5	ath	3	AT3G61310	AT3G61820	1
17	5	ath	1	AT1G01300	AT1G01740	2
18	5	ath	4	AT4G00710	AT4G01420	3
19	5	ath	1	AT1G63470	AT1G64450	4
20	5	ath	4	AT4G22770	AT4G24015	5
21	6	ath	2	AT2G45890	AT2G46160	0
22	6	ath	3	AT3G61340	AT3G61550	1
23	6	ath	1	AT1G01470	AT1G01720	2
24	6	ath	4	AT4G00720	AT4G01420	3
25	6	ath	1	AT1G63520	AT1G64050	4
26	6	ath	4	AT4G22830	AT4G23580	5
27	6	ath	4	AT4G36160	AT4G36880	6
28	7	ath	2	AT2G45890	AT2G46090	0
29	7	ath	3	AT3G61340	AT3G61500	1
30	7	ath	1	AT1G01530	AT1G01720	2
31	7	ath	4	AT4G00720	AT4G01420	3
32	7	ath	1	AT1G63520	AT1G63950	4
33	7	ath	4	AT4G22830	AT4G23530	5
34	7	ath	4	AT4G36160	AT4G36880	6
35	7	ath	1	AT1G69540	AT1G70380	7
36	8	ath	2	AT2G45900	AT2G46090	0
37	8	ath	3	AT3G61360	AT3G61500	1
38	8	ath	1	AT1G01550	AT1G01670	2
39	8	ath	4	AT4G00720	AT4G01420	3
40	8	ath	1	AT1G63630	AT1G63910	4
41	8	ath	4	AT4G22860	AT4G23520	5
42	8	ath	4	AT4G36240	AT4G36880	6
43	8	ath	1	AT1G69545	AT1G70320	7
44	8	ath	5	AT5G14770	AT5G15310	8
45	9	ath	2	AT2G45960	AT2G46160	0
46	9	ath	3	AT3G61430	AT3G61550	1
47	9	ath	1	AT1G01470	AT1G01620	2
48	9	ath	4	AT4G00780	AT4G01420	3
49	9	ath	1	AT1G63710	AT1G64050	4
50	9	ath	4	AT4G23130	AT4G23580	5
51	9	ath	4	AT4G36730	AT4G36880	6
52	9	ath	4	AT4G38830	AT4G39240	7
53	10	ath	2	AT2G45960	AT2G46150	0
54	10	ath	3	AT3G61430	AT3G61540	1
55	10	ath	1	AT1G01470	AT1G01620	2
56	10	ath	4	AT4G01250	AT4G01420	3
57	10	ath	1	AT1G63710	AT1G64040	4
58	10	ath	4	AT4G23350	AT4G23570	5
59	10	ath	4	AT4G36760	AT4G36880	6
60	10	ath	4	AT4G38870	AT4G39235	7
61	10	ath	4	AT4G11240	AT4G11590	8
62	11	ath	2	AT2G45960	AT2G46130	0
63	11	ath	3	AT3G61430	AT3G61530	1
64	11	ath	1	AT1G01480	AT1G01620	2
65	11	ath	4	AT4G00780	AT4G01420	3
66	11	ath	1	AT1G63710	AT1G64000	4
67	11	ath	4	AT4G23130	AT4G23550	5
68	11	ath	4	AT4G36730	AT4G36880	6
69	11	ath	4	AT4G38830	AT4G39220	7
70	11	ath	5	AT5G41280	AT5G41570	8
71	12	ath	2	AT2G45970	AT2G46130	0
72	12	ath	3	AT3G61440	AT3G61530	1
73	12	ath	1	AT1G01480	AT1G01600	2
74	12	ath	4	AT4G01250	AT4G01420	3
75	12	ath	1	AT1G63710	AT1G64000	4
76	12	ath	4	AT4G23410	AT4G23550	5
77	12	ath	4	AT4G36770	AT4G36880	6
78	12	ath	4	AT4G38920	AT4G39220	7
