id	multiplicon	genome	list	first	last	order
1	1	ptr	LG_V	PT05G06640	PT05G17010	0
2	1	ptr	LG_II	PT02G00040	PT02G10050	1
3	2	ptr	LG_V	PT05G06650	PT05G09450	0
4	2	ptr	LG_II	PT02G07200	PT02G10020	1
5	2	vvi	chr18	VV18G02130	VV18G05890	2
6	3	ptr	LG_V	PT05G07270	PT05G09360	0
7	3	ptr	LG_II	PT02G07270	PT02G09470	1
8	3	vvi	chr18	VV18G02320	VV18G05080	2
9	3	ath	1	AT1G77230	AT1G78310	3
10	4	ptr	LG_V	PT05G08500	PT05G09360	0
11	4	ptr	LG_II	PT02G07280	PT02G08120	1
12	4	vvi	chr18	VV18G02330	VV18G03440	2
13	4	ath	1	AT1G77240	AT1G77670	3
14	4	ath	1	AT1G21530	AT1G21930	4
15	5	ptr	LG_V	PT05G08570	PT05G09160	0
16	5	ptr	LG_II	PT02G07520	PT02G08050	1
17	5	vvi	chr18	VV18G02610	VV18G03370	2
18	5	ath	1	AT1G77380	AT1G77650	3
19	5	ath	1	AT1G21670	AT1G21910	4
20	5	ath	1	AT1G44100	AT1G44835	5
21	6	ptr	LG_V	PT05G08800	PT05G09160	0
22	6	ptr	LG_II	PT02G07520	PT02G07840	1
23	6	vvi	chr18	VV18G02610	VV18G03050	2
24	6	ath	1	AT1G77380	AT1G77580	3
25	6	ath	1	AT1G21670	AT1G21810	4
26	6	ath	1	AT1G44100	AT1G44575	5
27	6	ptr	LG_V	PT05G00910	PT05G01090	6
28	7	ptr	LG_V	PT05G08800	PT05G09070	0
29	7	ptr	LG_II	PT02G07540	PT02G07840	1
30	7	vvi	chr18	VV18G02750	VV18G03050	2
31	7	ath	1	AT1G77410	AT1G77580	3
32	7	ath	1	AT1G21690	AT1G21810	4
33	7	ath	1	AT1G44120	AT1G44575	5
34	7	ptr	LG_V	PT05G00940	PT05G01090	6
35	7	vvi	chr7	VV07G13260	VV07G13600	7
36	8	ptr	LG_V	PT05G08810	PT05G09060	0
37	8	ptr	LG_II	PT02G07550	PT02G07820	1
38	8	vvi	chr18	VV18G02770	VV18G03030	2
39	8	ath	1	AT1G77420	AT1G77580	3
40	8	ath	1	AT1G21690	AT1G21810	4
41	8	ath	1	AT1G44120	AT1G44542	5
42	8	ptr	LG_V	PT05G00950	PT05G01080	6
43	8	vvi	chr7	VV07G13270	VV07G13580	7
44	8	ptr	LG_VII	PT07G04280	PT07G04610	8
45	9	ptr	LG_V	PT05G08510	PT05G08620	0
46	9	ptr	LG_II	PT02G07990	PT02G08110	1
47	9	vvi	chr18	VV18G03250	VV18G03430	2
48	9	ath	1	AT1G77640	AT1G77670	3
49	9	ath	1	AT1G21890	AT1G21920	4
50	9	ath	4	AT4G08240	AT4G08310	5
51	10	ptr	LG_V	PT05G08990	PT05G09270	0
52	10	ptr	LG_II	PT02G07400	PT02G07620	1
53	10	vvi	chr18	VV18G02430	VV18G02860	2
54	10	ath	1	AT1G77290	AT1G77480	3
55	10	ath	1	AT1G21600	AT1G21730	4
56	10	ptr	LG_VII	PT07G03860	PT07G04350	5
57	11	ptr	LG_V	PT05G08990	PT05G09270	0
58	11	ptr	LG_II	PT02G07410	PT02G07620	1
59	11	vvi	chr18	VV18G02430	VV18G02860	2
60	11	ath	1	AT1G77290	AT1G77480	3
61	11	ath	1	AT1G21600	AT1G21730	4
62	11	ptr	LG_VII	PT07G03860	PT07G04340	5
63	11	ptr	LG_V	PT05G00290	PT05G00860	6
64	12	ptr	LG_V	PT05G09030	PT05G09270	0
65	12	ptr	LG_II	PT02G07410	PT02G07570	1
66	12	vvi	chr18	VV18G02430	VV18G02810	2
67	12	ath	1	AT1G77290	AT1G77450	3
68	12	ath	1	AT1G21600	AT1G21670	4
69	12	ptr	LG_VII	PT07G03980	PT07G04340	5
70	12	ptr	LG_XIV	PT14G01880	PT14G02140	6
71	13	ptr	LG_V	PT05G09190	PT05G09270	0
72	13	ptr	LG_II	PT02G07410	PT02G07480	1
73	13	vvi	chr18	VV18G02430	VV18G02560	2
74	13	ath	1	AT1G77290	AT1G77340	3
75	13	ath	1	AT1G21600	AT1G21651	4
76	13	vvi	chr1	VV01G11520	VV01G11670	5
77	14	ptr	LG_V	PT05G07310	PT05G08150	0
78	14	ptr	LG_II	PT02G08460	PT02G09400	1
79	14	vvi	chr18	VV18G03870	VV18G05010	2
80	14	ath	1	AT1G77810	AT1G78270	3
81	14	ath	1	AT1G22015	AT1G22410	4
82	15	ptr	LG_V	PT05G07510	PT05G08020	0
83	15	ptr	LG_II	PT02G08600	PT02G09200	1
84	15	vvi	chr18	VV18G04080	VV18G04670	2
85	15	ath	1	AT1G77870	AT1G78210	3
86	15	ath	1	AT1G22040	AT1G22280	4
87	15	ptr	LG_VII	PT07G04960	PT07G05700	5
88	16	ptr	LG_V	PT05G07510	PT05G07950	0
89	16	ptr	LG_II	PT02G08710	PT02G09200	1
90	16	vvi	chr18	VV18G04140	VV18G04670	2
91	16	ath	1	AT1G77890	AT1G78210	3
92	16	ath	1	AT1G22070	AT1G22280	4
93	16	ptr	LG_VII	PT07G04960	PT07G05680	5
94	16	ptr	LG_V	PT05G01430	PT05G02210	6
95	17	ptr	LG_V	PT05G07740	PT05G07950	0
96	17	ptr	LG_II	PT02G08710	PT02G08920	1
97	17	vvi	chr18	VV18G04140	VV18G04440	2
98	17	ath	1	AT1G77890	AT1G78080	3
99	17	ath	1	AT1G22070	AT1G22190	4
100	17	ptr	LG_VII	PT07G05310	PT07G05680	5
101	17	ptr	LG_V	PT05G01780	PT05G02210	6
102	17	vvi	chr7	VV07G11430	VV07G12020	7
103	18	ptr	LG_V	PT05G07780	PT05G07950	0
104	18	ptr	LG_II	PT02G08710	PT02G08850	1
